Sup,Transect,Unit,STP,Stratum,Depth,Munsell 1,Munsell 2,Munsell 3,Munsell,Texture,Horizon,Notes/Inclusions,Site Name,Site Location,Depth Unit,STP Entry Type,Parent STP,Recorded STP Label,GPS Latitude,GPS Longitude
,D,2,D2,3,0.90,10YR,4/,6,10YR4/6,Sandy Silt Loam,Bt,,,,,,,,39.1660557,-76.7204908
,D,3,D3,1,0.10,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.1660551,-76.720491
,D,3,D3,2,0.50,10YR,6/,6,10YR6/6,Silty clay loam,Bt,,,,,,,,39.1660548,-76.7204917
,D,4,D4,1,0.20,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.1660551,-76.7204913
,D,4,D4,2,0.60,10YR,6/,6,10YR6/6,Silty clay loam,Bt,,,,,,,,39.1660552,-76.7204911
,E,1,E1,1,0.30,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.166055,-76.7204912
,E,1,E1,2,0.60,10YR,5/,6,10YR5/6,Silty sandy loam,C,,,,,,,,39.1660548,-76.720491
,E,1,E1,3,0.70,10YR,6/,6,10YR6/6,Silty clay loam,Bt,,,,,,,,39.1660548,-76.7204913
,E,2,E2,1,0.30,10YR,3/,3,10YR3/3,Silt loam,AC,,,,,,,,39.1660548,-76.7204914
,E,2,E2,2,0.60,10YR,3/,4,10YR3/4,Silt loam,C,,,,,,,,39.1660547,-76.7204912
,E,2,E2,3,0.90,10YR,4/,6,10YR4/6,Sandy Silt Loam,Bt,,,,,,,,39.1660548,-76.7204912
,E,3,E3,1,0.20,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.1660547,-76.7204911
,E,3,E3,2,0.90,10YR,6/,6,10YR6/6,Silty clay loam,Bt,,,,,,,,39.1660547,-76.7204915
,E,4,E4,1,0.10,10YR,3/,4,10YR3/4,Silty sandy loam,AC,,,,,,,,39.1660548,-76.7204918
,E,4,E4,2,0.20,10YR,5/,4,10YR5/4,Silty clay loam,C,,,,,,,,39.1660548,-76.7204916
,E,4,E4,3,0.35,10YR,3/,3,10YR3/3,Silty sandy loam,C2,,,,,,,,39.1660546,-76.7204915
,E,4,E4,4,0.40,10YR,4/,6,10YR4/6,Silt loam,Bt,,,,,,,,39.1660546,-76.7204914
,E,5,E5,1,0.20,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.1660545,-76.7204914
,E,5,E5,2,1.10,10YR,6/,6,10YR6/6,Silty clay loam,Bt,Oyster Shell,,,,,,,39.1660544,-76.7204915
,E,6,E6,1,0.30,10YR,3/,3,10YR3/3,Silt loam,AC,,,,,,,,39.1660548,-76.7204915
,E,6,E6,2,0.60,10YR,3/,4,10YR3/4,Silt loam,C,,,,,,,,39.1660546,-76.7204913
,E,6,E6,3,0.80,10YR,5/,6,10YR5/6,Silt loam,Bt,,,,,,,,39.1660544,-76.7204915
,F,5,F5,1,0.20,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.1660545,-76.7204916
,F,5,F5,2,0.90,10YR,6/,6,10YR6/6,Silty clay loam,Bt,,,,,,,,39.1660546,-76.7204917
,F,6,F6,1,0.20,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.1660546,-76.7204917
,F,6,F6,2,0.70,10YR,6/,6,10YR6/6,Silty sandy loam,Bt,,,,,,,,39.1660545,-76.7204915
,G,5,G5,1,0.20,10YR,3/,3,10YR3/3,Silty sandy loam,AC,,,,,,,,39.1660546,-76.7204915
,G,5,G5,2,0.70,10YR,6/,6,10YR6/6,Silty clay loam,Bt,,,,,,,,39.1660545,-76.7204918
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
